date,station,city,series,low_f,high_f,n_markets,n_settled,source,utc_offset_hours,checked_utc
2026-08-17,KATL,Atlanta,KXHIGHTATL,97,98,1,1,results-csv,-6,2026-08-20T15:29:31+00:00
2026-08-17,KDEN,Denver,KXHIGHDEN,93,,6,6,kalshi-api,-7,2026-08-20T18:42:09+00:00
2026-08-17,KDFW,Dallas,KXHIGHTDAL,106,107,1,1,results-csv,-6,2026-08-20T15:29:31+00:00
2026-08-17,KLAX,Los Angeles,KXHIGHLAX,78,79,6,6,kalshi-api,-8,2026-08-20T18:42:09+00:00
2026-08-17,KMIA,Miami,KXHIGHMIA,94,95,6,6,kalshi-api,-5,2026-08-20T18:42:09+00:00
2026-08-17,KNYC,New York City,KXHIGHNY,,83,6,6,kalshi-api,-5,2026-08-20T18:42:09+00:00
2026-08-17,KPHL,Philadelphia,KXHIGHPHIL,89,90,1,1,results-csv,-5,2026-08-20T15:29:31+00:00
2026-08-18,KATL,Atlanta,KXHIGHTATL,92,93,6,6,kalshi-api,-6,2026-08-20T18:42:09+00:00
2026-08-18,KAUS,Austin,KXHIGHAUS,102,103,6,6,kalshi-api,-7,2026-08-21T13:29:48+00:00
2026-08-18,KBOS,Boston,KXHIGHTBOS,,78,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-18,KDCA,Washington DC,KXHIGHTDC,88,89,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-18,KDEN,Denver,KXHIGHDEN,,88,6,6,kalshi-api,-7,2026-08-20T18:42:09+00:00
2026-08-18,KDFW,Dallas,KXHIGHTDAL,104,105,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-18,KHOU,Houston,KXHIGHTHOU,96,97,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-18,KLAS,Las Vegas,KXHIGHTLV,108,109,6,6,kalshi-api,-8,2026-08-21T13:29:48+00:00
2026-08-18,KLAX,Los Angeles,KXHIGHLAX,81,82,6,6,kalshi-api,-8,2026-08-20T18:42:09+00:00
2026-08-18,KMDW,Chicago,KXHIGHCHI,80,81,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-18,KMIA,Miami,KXHIGHMIA,99,100,6,6,kalshi-api,-5,2026-08-20T18:42:09+00:00
2026-08-18,KMSP,Minneapolis,KXHIGHTMIN,83,,6,6,kalshi-api,-6,2026-08-20T18:42:09+00:00
2026-08-18,KMSY,New Orleans,KXHIGHTNOLA,95,96,6,6,kalshi-api,-6,2026-08-20T18:42:09+00:00
2026-08-18,KNYC,New York City,KXHIGHNY,85,86,6,6,kalshi-api,-5,2026-08-20T18:42:09+00:00
