scanned_utc,combo_id,n_legs,sectors,legs,tickers,leg_probs_pct,combined_pct,fair_payout,last_start_utc
2026-09-10T17:56:51+00:00,2026-09-10-COMBO-2LEG,2,TENNIS|WEATHER,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83,80.0|76.0,60.8,1.65,2026-09-11T19:00:00+00:00
2026-09-10T17:56:51+00:00,2026-09-10-COMBO-3LEG,3,TENNIS|WEATHER|TENNIS,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11TIASHE-SHE,80.0|76.0|72.6,44.1,2.27,2026-09-11T23:00:00+00:00
2026-09-10T17:56:51+00:00,2026-09-10-COMBO-4LEG,4,TENNIS|WEATHER|TENNIS|MLB,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | New York Yankees wins (Colorado Rockies @ New York Yankees)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11TIASHE-SHE|KXMLBGAME-26SEP101905COLNYY-NYY,80.0|76.0|72.6|72.2,31.9,3.14,2026-09-11T23:00:00+00:00
2026-09-10T17:56:51+00:00,2026-09-10-COMBO-5LEG,5,TENNIS|WEATHER|TENNIS|MLB|TENNIS,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | New York Yankees wins (Colorado Rockies @ New York Yankees) | Aryna Sabalenka wins (Jessica Pegula @ Aryna Sabalenka)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11TIASHE-SHE|KXMLBGAME-26SEP101905COLNYY-NYY|KXWTAMATCH-26SEP10SABPEG-SAB,80.0|76.0|72.6|72.2|63.3,20.2,4.96,2026-09-11T23:00:00+00:00
2026-09-10T23:35:50+00:00,2026-09-10-COMBO-2LEG,2,WEATHER|TENNIS,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE,99.0|79.3,78.5,1.27,2026-09-11T19:00:00+00:00
2026-09-10T23:35:50+00:00,2026-09-10-COMBO-3LEG,3,WEATHER|TENNIS|TENNIS,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE,99.0|79.3|72.6,57.0,1.75,2026-09-11T23:00:00+00:00
2026-09-10T23:35:50+00:00,2026-09-10-COMBO-4LEG,4,WEATHER|TENNIS|TENNIS|CFB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ,99.0|79.3|72.6|65.4,37.3,2.68,2026-09-12T00:00:00+00:00
2026-09-10T23:35:50+00:00,2026-09-10-COMBO-5LEG,5,WEATHER|TENNIS|TENNIS|CFB|MLB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks) | Boston Red Sox wins (Kansas City Royals @ Boston Red Sox)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ|KXMLBGAME-26SEP111910KCBOS-BOS,99.0|79.3|72.6|65.4|64.0,23.9,4.19,2026-09-12T00:00:00+00:00
2026-09-10T23:35:50+00:00,2026-09-10-COMBO-6LEG,6,WEATHER|TENNIS|TENNIS|CFB|MLB|MLB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks) | Boston Red Sox wins (Kansas City Royals @ Boston Red Sox) | Milwaukee Brewers wins (Cincinnati Reds @ Milwaukee Brewers)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ|KXMLBGAME-26SEP111910KCBOS-BOS|KXMLBGAME-26SEP111945CINMIL-MIL,99.0|79.3|72.6|65.4|64.0|62.7,15.0,6.69,2026-09-12T00:00:00+00:00
2026-09-10T23:35:50+00:00,2026-09-10-COMBO-7LEG,7,WEATHER|TENNIS|TENNIS|CFB|MLB|MLB|MLB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks) | Boston Red Sox wins (Kansas City Royals @ Boston Red Sox) | Milwaukee Brewers wins (Cincinnati Reds @ Milwaukee Brewers) | Atlanta Braves wins (Philadelphia Phillies @ Atlanta Braves)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ|KXMLBGAME-26SEP111910KCBOS-BOS|KXMLBGAME-26SEP111945CINMIL-MIL|KXMLBGAME-26SEP111915PHIATL-ATL,99.0|79.3|72.6|65.4|64.0|62.7|62.2,9.3,10.75,2026-09-12T00:00:00+00:00
