graded_utc,combo_id,n_legs,sectors,legs,tickers,combined_pct,legs_won,legs_lost,legs_void,result
2026-09-12T00:23:04+00:00,2026-09-10-COMBO-2LEG,2,TENNIS|WEATHER,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83,60.8,2,0,0,HIT
2026-09-12T00:23:04+00:00,2026-09-10-COMBO-2LEG,2,WEATHER|TENNIS,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE,78.5,2,0,0,HIT
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-3LEG,3,TENNIS|WEATHER|TENNIS,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11TIASHE-SHE,44.1,3,0,0,HIT
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-4LEG,4,TENNIS|WEATHER|TENNIS|MLB,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | New York Yankees wins (Colorado Rockies @ New York Yankees)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11TIASHE-SHE|KXMLBGAME-26SEP101905COLNYY-NYY,31.9,4,0,0,HIT
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-5LEG,5,TENNIS|WEATHER|TENNIS|MLB|TENNIS,"Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | New York Yankees wins (Colorado Rockies @ New York Yankees) | Aryna Sabalenka wins (Jessica Pegula @ Aryna Sabalenka)",KXATPMATCH-26SEP11ZVEKHA-ZVE|KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11TIASHE-SHE|KXMLBGAME-26SEP101905COLNYY-NYY|KXWTAMATCH-26SEP10SABPEG-SAB,20.2,5,0,0,HIT
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-3LEG,3,WEATHER|TENNIS|TENNIS,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE,57.0,3,0,0,HIT
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-4LEG,4,WEATHER|TENNIS|TENNIS|CFB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ,37.3,4,0,0,HIT
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-5LEG,5,WEATHER|TENNIS|TENNIS|CFB|MLB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks) | Boston Red Sox wins (Kansas City Royals @ Boston Red Sox)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ|KXMLBGAME-26SEP111910KCBOS-BOS,23.9,4,1,0,MISS
2026-09-12T12:14:02+00:00,2026-09-10-COMBO-6LEG,6,WEATHER|TENNIS|TENNIS|CFB|MLB|MLB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks) | Boston Red Sox wins (Kansas City Royals @ Boston Red Sox) | Milwaukee Brewers wins (Cincinnati Reds @ Milwaukee Brewers)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ|KXMLBGAME-26SEP111910KCBOS-BOS|KXMLBGAME-26SEP111945CINMIL-MIL,15.0,5,1,0,MISS
2026-09-12T12:14:03+00:00,2026-09-10-COMBO-7LEG,7,WEATHER|TENNIS|TENNIS|CFB|MLB|MLB|MLB,"San Francisco high 84° or above (San Francisco daily high, 2026-09-10) | Alexander Zverev wins (Karen Khachanov @ Alexander Zverev) | Ben Shelton wins (Ben Shelton @ Frances Tiafoe) | Missouri Tigers wins (Missouri Tigers @ Kansas Jayhawks) | Boston Red Sox wins (Kansas City Royals @ Boston Red Sox) | Milwaukee Brewers wins (Cincinnati Reds @ Milwaukee Brewers) | Atlanta Braves wins (Philadelphia Phillies @ Atlanta Braves)",KXHIGHTSFO-26SEP10-T83|KXATPMATCH-26SEP11ZVEKHA-ZVE|KXATPMATCH-26SEP11TIASHE-SHE|KXNCAAFGAME-26SEP11MIZZKU-MIZZ|KXMLBGAME-26SEP111910KCBOS-BOS|KXMLBGAME-26SEP111945CINMIL-MIL|KXMLBGAME-26SEP111915PHIATL-ATL,9.3,6,1,0,MISS
